Title,Rating,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Very pleasant and fun environment to work at, also can be very busy.""",4.0," Mar 27, 2014",Current,Crew Member,"Goodyear, AZ",Yes,Yes,Yes,Part-time,Less than a year,"Co-workers are extremely friendly and welcoming to new hires. I personally am getting trained extremely well. Employees and manager are always very uplifting and cheerful, PLUS making people happy and smile brightens your day. Feeling proud about the food you are serving is a huge plus. Free lunch everyday and 50 % off if very nice to have .","it can get very busy and a little overwhelming but people will help you. Not enough hours and pay is not that great, but better than most fast food places.","I know it gets really busy, but just take the time to get to talk and know new hires."
"""NO hours :/""",3.0," Apr 7, 2014",Past,Crew Member,"Mount Dora, FL",Yes,Yes,Yes,Part-time,More than 3 years,"Great product, Free lunch, great co workers, great food thats about it!!!! pay is not good at all.",I was unlucky enough to land in the only Chipotle in the US that was constantly empty and had very little chance on getting hours.,Management at chipotle are very kind nice people. They do lack real leadership skills though since most of them dont really have a college education.
"""It's been my college job for 3 years and it's pretty good company to work for.""",4.0," Mar 25, 2014",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than 3 years,"Good for people with high energy, you can have a lot of fun if you are getting work done and every one is being a team player",It can be difficult when everyone isn't focused.,Be even-headed and fair to employees and the party will rock.
"""Overwhelmed""",3.0," Apr 4, 2014",Current,General Manager,"Bowling Green, OH",Yes,Yes,Yes,Full-time,Less than a year,This company is very people oriented. If you want to advance quickly it can happen,This company promotes a very laid back atmosphere but doesn't take into account that when you promote young people to leaders you are not setting them up success when dealing with such a laid back young environment. Upper management doesn't understand how to not micro manage everything.,"Trust the people you put in certain positions. We are all adults, and if you don't trust us, then were not meant for that position. It cripples confidence and progression."
"""Hard Worker? Looking for Career Opportunities?""",5.0," Mar 20, 2014",Current,Kitchen Manager,"College Station, TX",Yes,Yes,Yes,Part-time,Less than a year,"Free food when working, 50% off when not<br>Will be promoted if you have the work ethic and mentality to be the best",can be a stressful environment at times<br>working off the clock multiple times a week,
"""Decent pay for first job, expect to work, expect high expectations. overall, it's OK.""",3.0," Mar 31, 2014",Current,Crew Member,"Austin, TX",No,Neutral,Neutral,Part-time,More than a year,"Pays more than most fastfood jobs<br>free meal every shift<br>very possible to move up in company (very laid-out, bottom-up path)<br>huge learning experience<br>good company to have on your resume<br>high quality standards, they care about what they're serving","you will work hard, from beginning to end of shits<br>very stressful during customer rushes<br>very high pressure from not only management to perform impossibly well<br>extremely corporate chain that drills their vision into your head, can be extremely annoying<br>they quiz you all the time on policies and store vision and other corporate crap (irritating)","management is fine really, pressure from them comes from pressure from corporate. Corporate, chill out, chipotle customers care less than you think they do. in fact, some of the policies that are meant to add quality, customers complain they are wasteful and pointless. no big deal tough."
"""They underpay everybody (except the people in corporate)""",2.0," Mar 29, 2014",Current,Take Out Specialist,"Austin, TX",No,Neutral,Neutral,Full-time,Less than a year,"Free food with every shift, 50% off when not working or taking food to-go, nice managers, very structured work environment","They expect SO much of you and pay you less than even dairy queen pays their employees. Here in Texas they start you off at 8.50 hourly for crew and expect you to memorize a whole slew of things and work you to the bone in a hellishly hot and loud kitchen working with miserable and rude customers. Managers are grossly over worked and underpaid as well. Kitchen managers make 10.50/hr and service managers make 11.50/hour, and once again so much is expected of them and the job is absolutely exhausting. Once they snag you with a salary if you make it to apprentice GM or GM they make you work 50-60 hours and week and corporate is constantly up your ass about every single little thing. If paid hourly, salaried managers would make a couple dollars (if even that) over what hourly employees make. They keep people hanging on by teasing them with the idea of getting promoted to corporate. Their business model is a pyramid scheme.",PAY YOUR EMPLOYEES WHAT THEY ARE WORTH. You lose SO many good people because you take them all for granted.
"""Fun coworkers but management only interested in moving up.""",4.0," Mar 15, 2014",Past,Cashier and Crew Member,"San Diego, CA",Yes,Neutral,Neutral,Part-time,Less than a year,"Loved my coworkers, loved blasting music in the backroom. Pay was decent for basically no experience.<br>THE FOOD. Whatever you want during your shift and half off afterwards. The best.",Management just wants to become restauranteurs.<br>Corporate watches you on the cameras and it's creepy.<br>My manager was not that understanding and gave us such awkward hours. 5:45-1030 pm shift...? and was such a slacker.... She gave all her jobs to others and did 'paperwork'. It's Chipotle... There is no paperwork.,Stop advancing employees to management positions because they know nothing..... Super stressful to deal with managers that don't know what's happening.
"""FAST""",4.0," Mar 13, 2014",Current,Grill,"New York, NY",No,Neutral,Yes,Part-time,Less than a year,"Free Food , Coworkers were great",Too Fast because of the quantity of customers,Management was cool
"""Stressful and time consuming.""",3.0," Mar 25, 2014",Past,Cashier and Prep Cook,"North Miami, FL",No,No,Yes,Part-time,More than a year,"You have great co-workers whom you will bond with easily, great experience (rolling burritos, making ""quesarittos"", trying new things, learning how to work in a kitchen, the ability to have a say in who gets hired (democratic hiring/firing procedure), great benefits and chance to advance with the company.","Management. The kitchen managers were not very good at what they did (forgot to list items in the stock order such as utensils and napkins), a lot of hard work that is mostly busy work, working off the clock (unbelievable right?! we would get clocked out at 12:30 am and still would not be finished closing the store because of tedious tasks, very inflexible schedule), not having a service manager or GM. Our apprentice always told us that all crew members would be spoken to before a team member was fired so we could share our views on their work ethic to minimize individual revenge to get someone fired and so everyone could make a unanimous decision. Our apprentice would fire people and lie to the entire crew about having imaginary conversations with us about said person who was fired. Basically, he was firing people with invalid reasons and not asking the crew's opinion.","The micromanagement could've been much better. The kitchen staff could have done better on restocking and keeping enough people on the line to efficiently move the line. We did not have a service manager or a general manager, only kitchen managers and an apprentice. Chipotle corporation should have every step of the management ladder filled in order to run a ""restauranteur"" worthy store. Always keep the store clean and dont stress employees out by making us stay to the point of free labor and having to do unnecessary deep cleaning to impress district managers."
"""Not a fun job""",3.0," Mar 23, 2014",Past,Crew Member,,No,Neutral,Neutral,Part-time,Less than a year,Food is the best. General manger is kind and beautiful,Racists manager and co-workers. Unequal distribution of work.,Train managers to be fair!
"""REVIEW OF CHIPOTLE""",3.0," Mar 24, 2014",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"- Chipotle professes to do it's best to use only meat and dairy products in their from farms that raise their animals ethically and in their natural environment, without antibiotics, hormones, etc. They also profess to do their best to use all organic, non-GMO grown vegetables in their burritos. This is an excellent reason to check them out as a possible employer, and the reason I give the restaurant 3 stars out of 5 stars, instead of just 2 stars.<br>- Chipotle recruits it's management largely from within.","- The training is fun, but in the end, there is too much hype and not enough practical training.<br>- Managers need more training in how to run a restaurant and, more specifically, in how to supervise.<br>- Crew members do not receive enough training and the training amongst all employees is not evenly distributed.<br>- While good customer service and friendliness is encouraged extensively during training, it is almost nearly discouraged in favor of speed of the line once training is over and actual work begins<br>- Crew members can not receive a decent number of work hours. They are only allowed a maximum of 25-30 hours/week, though near full-time hours are implied in the training schedule. Work hours decrease rapidly within the first two weeks of employment, getting as low as 15-17 hours/week.<br>- There is a ""dog-eat-dog"" mentality on the ""line"" and in general, and not enough attention is paid to who is actually doing what. Since the managers use other crew to assist them in assessing fellow crew members, this leads to evaluations that are far from even-handed and fair. This, in and of itself, is not the problem, except that too many of those crew members helping in this area are afraid of losing their own jobs or losing the already too few hours they have. This makes them less likely to give the best evaluation of their co-worker.<br>- Quality suffers as a result of trying costs to pay employees, because they are encouraged to do too much with too few employees.<br>- There is very little diversity, with a large percentage of employees being Hispanic/Latino.<br>- Chipotle seems to favor younger employees to older employees. Most of the older hires, were practically gone by the time I left.<br>- Far more attention needs to be paid to possible Department of Public Health concerns, i.e., in terms of cleanliness, how/where food is stored, how/where food trays, utensils are stored, trash disposal and, specifically, the habit of reshelving food, napkins, bowls, etc, whether packaged or unpackaged, that have fallen to the ground, back with other items to contaminate them, or storing food, food, containers, utensils, napkins, etc., too close to the ground or too close to unsanitary items, like floor mats, mops, garbage cans, etc.","- Give both positive and negative constructive criticism, so that the employee has more balanced points of reference from which to improve.<br>- If you are going to evaluate an employee, make sure you have valid information from which to do so.<br>- Read the above pros/and cons.<br>- Make sure management is not just trained in the practical work of the restaurant, but in how to interact with their employees.<br>- Try to create a positive work environment for employees to learn and grow in, and not one in which employees spend most of their time worrying about whether they will have a job or enough work hours to survive on."
"""some of the best food out there.""",5.0," Mar 9, 2014",Past,General Manager,"Chicago, IL",No,Neutral,Yes,Full-time,More than 5 years,"great opportunities for growth, great work atmosphere, great food","it takes too long to move up past a restaurant manager position, and your career depends on how other people perform",
"""ehhhh""",2.0," Mar 23, 2014",Current,Crew Member,"Chantilly, VA",No,Neutral,Yes,Part-time,Less than a year,"pay, and people, also the free employee meals that you get but thats about it for chipotle though.","hours, management, personal growth is based on who slaves themselves the best or who is willing to tend to every whim of management even when its unnecessary or uncalled for.",at the chipotle in chantilly crossing please get a whole new managing staff
"""I didn't enjoy working at Chipotle at all...""",2.0," Mar 23, 2014",Past,Crew Member,"Richmond, VA",No,Neutral,Yes,Part-time,Less than a year,Free food and wages are pretty high for starter.,"Super stressful, mean coworkers, very uptight management, and decreasing in work hours for no reason.","I really enjoyed working at Chipotle for like about a week, despite having to face really mean coworkers who treated me like crap and always telling me to do this and that while they stand there and do nothing and they always leave you with the crappy job while they relax or do the interesting one, which is not fair. My coworkers didn't even help me when I needed help, therefore, the teamwork was definitely crappy. What's the point of being a team, if the coworkers won't even help you? I had an allergic reaction once and I couldn't breathe and no one cared; they told me to stop whining I'm not the only one who's allergic to things so get back to work.Then things started to go downhill after a week, they kept sending me home all the time and they never send anyone else. My hours and work days were decreasing like crazy to the point where I only work one day a week and for only 2 hours. I'm not even making enough money to pay for gas...and that's not all, even though I only get to work this much, sometimes they even call me not to come in...I don't want to jump to conclusion but my theory is that my coworkers were quite racist because I was the only asian there and they didn't treat newcomers badly, just only me. Overall, I really dislike working here, everything was unfair, and people treated me like crap...sad thing is, this was my first job too...and it's really stressful having people always yelling at you, telling you faster faster and do this or do that at the same time, I only have two hands, I can't do all of that. It's like they are trying to work me really hard on purpose...This job is definitely really stressful and with the bad treatment, it's not worth staying there, but don't take my opinion, where you work may be different. You might have people who treat you like a human being...But an advice, if you are looking for your first job, don't start off here, it's a load of stress to take on, mostly if you're a student."
"""Calm""",4.0," Mar 8, 2014",Current,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,Less than a year,Food was very nice to eat,The long hours and starting pay,N.A
"""I love working here""",5.0," Mar 7, 2014",Current,Cashier and Crew Member,"Atlanta, GA",Neutral,Yes,Yes,Part-time,More than a year,"You get a raise every 6 months and the starting pay is at $8.50<br>Good, Free chipotle ! yum",Have to work fast and efficient in order to move up,
"""hard work, only good workers with a great attitude""",4.0," Mar 6, 2014",Current,Apprentice General Manager,"Pittsburgh, PA",Yes,Yes,Yes,Full-time,More than a year,"base pay, vacation, people culture, food with integrity (organic, naturally rasied)","ALWAYS busy, high demand, must have staff to run properly w/ low support to do so","Have audits and corporate tools tailored to each individual unit to properly use labor and effectively give amazing customer service, while being able to have the highest standards in the industry."
"""Was a good experience""",3.0," Mar 18, 2014",Current,Crew Member,"Pittsburgh, PA",Yes,Yes,Yes,Part-time,Less than a year,Fast paced<br>Energetic<br>Lots to do<br>Room for advancement,Tiresome<br>Everything is time based<br>A lot of pressure to do everything exactly the way they want,
"""Amazing people""",3.0," Mar 18, 2014",Past,Kitchen Manager,"Edison, NJ",Neutral,Yes,Yes,Part-time,More than a year,flexible schedule and great environment !,sometimes you ad stayed longer than you were schedule. if you get promoted to management you will have to live there. if you hit over time they complain yet they want you to stay extra hours.,
"""Forward thinking, enthusiastic leaders, fast-paced""",4.0," Mar 2, 2014",Current,Anonymous Employee,,No,Yes,Yes,Full-time,More than a year,"Lots of autonomy, people-centric culture, creative minds, young and enthusiastic",Lacks structure and strong training. No leadership development for internal promotes.,
"""Great.... At first!""",2.0," Mar 16, 2014",Past,KMIT,"Maplewood, MN",No,No,Neutral,Full-time,More than 5 years,Always hours available<br>Start off over minimum wage<br>One free meal per shift,"Managers are very pushy and sometimes plain rude<br>They over work and under pay anyone who is not a manager<br>Unprofessional work environment 9/10 times<br>Many times you are not allowed a break if it is busy(this happened even when I was 7-8 months pregnant! 8-10 hour shift with no food/break is unacceptable)<br>Reel you in with promises that turn out to be very untrue, which makes people quit(turnaround his horrible, after the 2 years I worked there I was 1 of 2 crew members that didn't quit in that time. All original staff I was hired with had quit, along with 6-7 more waves of crew that lasted a very short time. Speaks for itself about the work environment!)","Pay more or keep a better handle on your management teams, any time a restaurateur came in for a visit we acted 100x better and professional than usual. Many procedures were only followed when we were being audited, total joke."
"""Fast Times In Chipotle High""",3.0," Mar 16, 2014",Past,Apprentice Manager,"Saint Louis, MO",No,Yes,Neutral,Part-time,Less than a year,"The crew was always the best part, they were the reason I went in everyday.","Heavy work loads, 70 hour weeks and only getting paid for 40 hrs",
"""Fantastic yet extremely busy""",4.0," Feb 27, 2014",Current,Cashier and Crew Member,"Orlando, FL",Yes,Neutral,Yes,Full-time,More than a year,"Times goes by very quickly, friendly staff, great customers, extremely easy position","Not enough prep time, lack of understanding of upper staff, extreme tension among upper staff, short breaks, low tips",Please listen to your staffs concerns a little more. Happy staff make for happy customers!
"""Your stability is determined by the department you're in""",3.0," Feb 24, 2014",Past,Wynkoop,"Denver, CO",Yes,Yes,Yes,Full-time,Less than a year,"Pretty good starting pay, great benefits, awesome corporate culture. The vast majority of people there are just awesome.","VERY lean corporate environment. Depending on the department you're in, you will be told you do not need to work over 45 hours/week but you will if you want to compete with your peers who are working 60+. Favoritism is a factor depending on who you're working under. There was much to be desired in the area of communication.<br><br>My Exec. Director was fantastic but my immediate manager was not - this created major problems.","Be consistent: My Executive Director would praise me through the roof only to have my manager tell me the next day that my job was on the line - this happened several times throughout my employment. Ultimately I was let-go due to ""inconsistent performance"" which could also be said about the department in general; inconsistent hours, inconsistent expectations, inconsistent feedback, inconsistent staffing, inconsistent attendance of our immediate manager who was constantly out due to health concerns, etc. If you want your employees to be consistent, lead by example and be consistent as well.<br><br>Be empowering: My immediate manager was not empowering at all and would constantly micro-manage and spy on employees; to her, everyone (customers, coworkers, business partners, etc.) was guilty until proven innocent. She was very controlling and had a hard time trusting anyone with tasks whether it was us, our customers or our business partners. Ironically, when she was out for several weeks for health problems, the department managed itself just fine. Learn to let go and to trust the people around you.<br><br>Understand Work-Life Balance: Our department was worked so hard that word got to the CEO and he came down himself to individually interview everyone where he also determined that everyone was being worked far beyond what's necessary. My immediate manager works at least 65-70 hours/week and the stress is literally destroying her health. It was not uncommon to see her (or others) sending out emails at midnight on the weekend. Turnover in our department is quite high and good people have left due to (in their words) the favoritism, lack of communication, and dis-encouragement of work-life balance. Those who decided to come in at 7:00 am and work until 6:00 pm each day were not only rewarded, but held as a standard of work performance. Encourage your people to work only 8 hours/day and to go home afterward and you'll end up with employees who are more empowered and, ultimately, more efficient.<br><br>Have a clear-cut path for growth: In my department, there was no clear path to go up... at all. We were simply told, ""Well, there might be a manager position sometime in the distant future."" The more I contributed and developed, the more praise I would get from my Executive Director and the more my immediate manager would feel threatened and tell me to stop which is not only very, very confusing and stressful, but is also not empowering or a good example to set for growth. It is also highly inconsistent. I don't have much to say in the way of bonuses and raises since I was let-go just before my annual bonus was to be established and paid (a bit shady)."
"""Promises that never saw fruition.""",1.0," Apr 1, 2014",Past,Crew Member,"Skokie, IL",No,Yes,Neutral,Part-time,Less than a year,"The food is really good, it's fun to learn to cook and learn their recipes, and there is a laid-back environment.","The leadership at this location was flawed. I was originally told that I would be on a fast-track to management because of my advanced degree and experience in management. Three days into the job, there was a very noticeable drop in the training and attention they paid me. They didn't have a new hat for me, I had to wear some hand-me-down, and they only had a XXL shirt. I never got a proper fitting shirt, nor a new hat, nor the non-slip shoes they asked me to order.<br><br>Every shift I was relegated to washing dishes because nobody took the time to train me on anything else; yet frequently the assistant store manager and store manager would ask me pointed questions about my improvement and progress. Despite my previously mentioned education and experience (I have a masters degree in organizational psychology and I've been a supervisor at a fitness center), I was most often treated like I didn't know a thing, in fact, I was slow and behind in the progress they expected. Once, the restaurant manager lied about another crew member reporting that I had a bad attitude. I called him out about it and the subject was dropped.<br><br>To sum it up, they hired me, then forgot about me. Eventually, they blamed me for all of it when the restaurant manager brought me to his office to let me go. He took no responsibility for what happened (more like what neglected to occur) in my time there and said simply, that not everyone fits into the Chipotle culture.<br><br>I would never recommend anyone to work at that location unless they are fresh out of high school or have no other options, because that's all they hired over there. I believe I had a great amount of promise for management there and they let me go, meanwhile, they have customers complaining that employees are goofing off and shoving each other around the hot fryer.<br><br>Good luck trying to become a restaurateur!!","Hire people who are a little more mature and people who don't divide into cliques. Also, that book for new hires' progression through training is a good idea, but be more dedicated to bringing out people's strong suits because that is the meaning behind human capital."
"""Chipotle is a place that gives you what you pay for: great organic, mostly-locally grown food, with high standards.""",4.0," Feb 19, 2014",Current,Crew Member,"Burke, VA",Yes,Yes,Yes,Full-time,More than a year,"No needed prior work experience, they look for 13 characteristics in a person to be a team member.<br>Quality food that is clean and served with integrity.<br>A great team environment.<br>Everyone has an opportunity to move up through the company if they are empowered.",Lots of cleaning and contact with food making you coming home smelling of a concoction of who knows what.<br>Very mentally stressful.,I believe that teamwork and communication skills should be advocated and implemented more in the environment in order to encourage crews to be teams and not just workers to elevate towards Restaurateur more effectively.
"""It was amazing!!""",4.0," Feb 17, 2014",Past,Team Member,"Orlando, FL",Neutral,Neutral,Yes,Part-time,More than a year,they care very much about their employees. They always make sure to give them flexible hours and equal chances to everyone.,it takes a while to be able to move up the ladder. So if this is a long term job for you it will take a while before you can move up in position,they should give more opportunities to move up easier. But at the same time they are doing very good
"""Crew""",4.0," Feb 16, 2014",Past,Anonymous Employee,,Neutral,Yes,Neutral,Full-time,,"Fun, Fast Paced. Free Food","REALLY fast paced, pressure to fast and efficient",
"""meh""",2.0," Mar 6, 2014",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,Less than a year,"Room to advance, they promote from within","No support for managers, slow to respond to service requests",
"""Unlimited Opportunities for Growth""",4.0," Feb 18, 2014",Past,Service Manager,"Philadelphia, PA",Yes,Yes,Yes,Full-time,Less than a year,They are serious about helping you grow and excel in the company.,They can be too pushy.,Consider having more meetings with your staff and not make all the calls based on your own decision and perspective.
"""Worked hard to get nowhere.""",3.0," Mar 3, 2014",Current,KMIT,"Chicago, IL",Yes,Neutral,Yes,Full-time,More than a year,"Great people, lots of opportunity for growth and promotion, the company promotes from within only, and good pay.","If you're stuck in a store with a bad GM, you don't have great opportunity for growth or promotion and there is extreme favoritism.",Stop promoting the wrong people to GM.
"""Overwhelming at times, lacking quality management, but a rewarding place to work overall.""",4.0," Feb 14, 2014",Current,Cashier and Crew Member,"Oxford, OH",Yes,Yes,Yes,Full-time,More than 3 years,"Learn how to multi-task, fast-paced environment, room to grow and they only hire managers from crew members so there is never someone telling you what to do who hasn't done it before.","Can be overwhelming (depending on position), multi-tasking is good but only to a certain extent, customers really want their food the way they ask so make sure to provide the best customer service you can (especially if you run out of something)","Chipotle seems to have a ""drink the kool-aid"" type of management style. If you don't listen to your upper management and do exactly as they say, they will replace you fast. Give store managers a little leeway with their individual store and understand that this company can be exhausting at times. Pay attention to what is working and what's not; and do it before a crisis happens, not in response to one"
"""Very biased towards non-hispanics""",2.0," Feb 28, 2014",Past,Crew Member,"Washington, DC",No,No,Neutral,Full-time,Less than a year,Free lunch and discounts on food. Oh yeah we also got free drinks from the soda machine.,"Management doesn't care about employees, only giving out less food and sales. The amount of pay for the amount of work sucks big time. Worst part was being a African American in the company. We were treat unfairly. I was hired full time but was getting part time hours. Spanish people got the most hours and favorable treatment.",Make sure you treat everyone fairly and that you pay what people deserve.
"""Worked a lot of hours, very little time for family""",3.0," Feb 26, 2014",Past,Anonymous Employee,,No,Neutral,Yes,,More than 5 years,"great benefits, great food, fast paced environment, provided the opportunity for growth within.","very demanding work hours, high expectations for employees, under pay employees for the work expected. If you are not interested in making a career with the company, they tend to string you along until you quit or get terminated",Management should not be so pushy and persistent in turning every employee to making chipotle a career choice
"""Not for everyone""",3.0," Feb 27, 2014",Current,Anonymous Employee,,Yes,Yes,Neutral,Full-time,More than a year,"Greta learning experience, you learn how to manage time, you learn how to pay a lot of attention to detail, Flexible with work schedule, able to move up to management starting from just washing dishes.","Line to the door hours on end, sometimes late hours, management can get on your nerve, company sometimes doesn't have the most efficient ideas.","Get rid of your No moving rule at peaks when it's slow. There is so much that can be done with in that hour of ""peak"". Grill and prep guys can do so much. There is so much labor that can be saved. Front of the house can get a lot of deep cleaning done."
"""Line member""",3.0," Feb 25, 2014",Past,Anonymous Employee,"San Francisco, CA",No,Neutral,Yes,Part-time,Less than a year,Awesome co-workers and great discount!,Rush hours are intense and you can get hurt easily if you aren't careful.,
"""Micro Management x3""",2.0," Feb 24, 2014",Past,Restaurateur +,,Neutral,Neutral,Neutral,Full-time,More than 8 years,"Great company vision,<br>Great food culture<br>Stick price and economic model are resilient","Tend to overthink just about everything<br>Not fun anymore, always this impending visit coming, and everyone has to be ""so committed"" everyone has to have a heartfelt story on the team and have been somehow saved by Chipotle : )<br>Extremely egotistical upper management<br>Horrible bonus program<br>Ridiculous crew merit increases, it's quite the slap in the face for the crew<br>Quality of life? Out the window and rather low compensation for GM's and Restauranteurs, and multi unit leaders.","Bring back some joy and fun for what use to be the Oasis for the restaurant industry.<br>Reinvest is the ""quality of life"" incentive that use to ring so true.<br><br>Stop rewarding workaholism your burning people out."
"""Easy to be promoted if you can handle the atmosphere....""",2.0," Feb 24, 2014",Past,Anonymous Employee,,Neutral,Neutral,Yes,Full-time,Less than a year,"-terrible working atmosphere. everyone hated everyone and talked about them like it was 3rd grade. VERY unprofessional and disappointing.<br>-it's a work house. you can't even go to the bathroom unless it's your break or the managers will literally FOLLOW you and make sure you actually go.<br>-inexperienced management, immature crew. I know it's fast food but I expected at least high school mentality...I got elementary.",9 dollars and hour plus tips is okay for fast food and I was only there for 2 months and got promoted to Kitchen Manager,learn how to create a professional atmosphere in your store.
"""Manager review""",5.0," Feb 12, 2014",Past,Manager,"Uniondale, NY",Yes,Yes,Neutral,Full-time,,fast paced environment. Good career advancement. Food business is always thriving. Coworkers are happy and satisfied with working for this company!,can't think of any. Long hours standing on your feet and public can be difficult at times. Some employees are not career oriented.,keep up the good work
"""No Good""",3.0," Feb 21, 2014",Past,Service Manager,"Washington, DC",No,No,Neutral,Full-time,Less than a year,It is a pay check,The upper management is horrible and inconsistent,
"""wow..""",3.0," Feb 22, 2014",Past,Crew Member,"Baltimore, MD",Neutral,Neutral,Neutral,Part-time,Less than a year,"I met some great people, learned how to handle customer efficiently, really learned a sense of urgency.","its always busy, barely got any breaks, tiresome, if I closed i'd be at chipotle until like 2 or 3 in the morning cleaning and the store closes at 10, overwhelming. my manager let the power of being a GM get to his head, when the apprentice gets his own store best believe i'll be back in chipotle.",n/a
"""Awful""",1.0," Mar 12, 2014",Past,Line Worker,"Huntsville, AL",No,Neutral,Neutral,Full-time,Less than a year,"You MIGHT get a free meal before you start an 8 hour shift, with no break.","Rude managers, no breaks, elitism in staff","Quit making every one who walks through the doors think that they can be a manager some day. It makes for some pretty awful coworkers. Also for some reason when I was hired my manager made it a huge point to keep telling us his ""story"" with chipotle and how they helped him and all this. Just stop, it's so fake. Also, timing every single little thing someone does, even after just two days of being there, is just rude. You have to memorize all types of recipes for salsa and everything has to be perfect. I got reprimanded over 7 times in one shift for ""not smiling"" enough. Dude, I'm trying to WORK, there is no way I can plaster a constant smile on my face. None of my other coworkers were smiling. Oh and you know what else would help? Stop having people YELL to every customer."
"""Great Comapny""",4.0," Feb 4, 2014",Past,Cashier and Crew Member,"New York, NY",No,No,Yes,Part-time,Less than a year,"Chipotle is a great company to work for, you learn everything and if you know how to do your job correctly there is no reason fp\or you not to get promoted",The customers are impatient at times and the lines are long but over all it can be fun,The General Manager at the store I worked for didn't know how to do his job and there was a lot of favoritism. When the Apprentice becomes General Manager I can go back but I had to quite because of poor management however I know a coupe of other managers at other locations and they do their jobs well and they make it a great place to work
"""I still eat there so that says something, right?""",3.0," Feb 18, 2014",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,More than a year,Free food every shift. Only pro I recall.,Not fun. Seriously dreaded every single day.,Your journal is stupid. Makes a painful job worse when your forced to recall every horrible thing over and over and over...
"""Great.""",4.0," Feb 3, 2014",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than 8 years,"Room for advancement, great place to be.",Not really any I can think of.,
"""I learned all about the importance of the culture of food in our country.""",4.0," Feb 2, 2014",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than 3 years,Being proud of the brand I represented.,Field Leadership not being aware/able to diagnose issues.,
"""Great opportunities for the right type of person""",4.0," Jan 29, 2014",Current,Crew Member,"Marlborough, MA",Yes,Yes,Yes,Part-time,Less than a year,"The ethics of the company are great. They care greatly about the sources of their ingredients, as well as the quality of food. Definitely the cleanest restaurant I have ever worked at ( I have also filled in at 3 additional locations aside from the Marlborough one, so I can vouch for them as well). The culture is very laid-back and liberal, which is a great fit for like-minded people, but may be awkward if you are not. As long as the company is growing, there are excellent opportunities for advancement from workers who are consistent, who ""fit in"" with the culture, and who express desire to make a career out of it.","The sales have been increasing rapidly for quite some time, so doing much of the preparation by hand using ""traditional culinary methods"" becomes tiresome and difficult if left to the same position every day. Front of house is much easier than back of house as far as workload goes, but it involves customer service, which some may not prefer. Also, the culture tends to favor ""cool"" people, who tend to get promoted if they are extroverted and likeable, regardless of qualifications. Although most of the managers are very easygoing and approachable, some may not perform their jobs very well, and may result in you having stressful shifts when they are in charge. There seems to be a high turnover rate amoingst less well-established restaurants with managers who end up going to college (after they graduate), and from other managers at said locations who are just incompetent that either quit or get fired. Also, there is a pay cut when promoted from Service Manager to Apprentice (it goes from hourly to salary, but the hours stay the same and the pay averages out to less - but even so, after a relatively short period as Apprentice, you are very likely to get promoted to Restaurant Manager, which is better in terms of pay, work, and benefits. After GM, the opportunities are excellent if promoted - including bonuses and opportunities with corporate (if you are interested in that).","Upper management should consider sales volume and team size more when evaluating the individual restaurants, and seek management based on business management capabilities rather than just their personality types. This would help the newer restaurants with regards to stability, and motivate a stable team of workers who are more likely to remain loyal and motivated to this company, which has great ethics and a promising future."
